IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	is_student
ref145	-0.161065	-0.278653	-0.025159	0.111592	-0.072227	0.010342	-0.097651	0.099008	-0.177662	0.113227	-0.203044	0.111613	-0.073756	0.273921	-0.036107	0.009196	-0.266401	0.010147	-0.036436	0.186323	False
ref146	-0.157274	-0.279410	-0.017748	0.124712	-0.021807	0.032324	-0.133256	-0.009852	-0.232770	0.031722	0.112712	0.092281	-0.060629	-0.061218	-0.157161	0.064306	0.017645	0.167831	-0.085221	-0.055063	False
ref147	-0.163396	-0.283485	-0.029765	0.112217	-0.050331	0.102535	-0.021571	0.049238	-0.272046	0.007135	0.001929	0.077685	0.048874	-0.034570	-0.183137	0.026487	0.102377	0.049874	-0.062782	0.002845	False
ref148	-0.163792	-0.276477	-0.026222	0.103527	-0.052182	0.056005	-0.145129	0.071827	-0.106093	-0.078725	-0.098641	-0.033970	-0.090992	-0.099895	-0.007223	0.043224	0.174264	-0.112581	0.117630	0.109332	False
ref149	-0.160293	-0.276703	-0.030997	0.110856	-0.056777	0.046370	-0.039590	-0.020889	-0.140368	-0.035143	-0.095951	-0.119655	-0.086826	0.132559	-0.036700	0.169829	0.062345	0.014566	-0.218696	-0.008944	False
ref137	-0.164628	-0.229032	-0.041664	0.093940	-0.310186	-0.052737	0.054910	0.072923	0.140520	0.011570	-0.010403	0.018039	-0.131879	0.035133	-0.024207	-0.022370	-0.021507	-0.002021	-0.091718	0.019962	False
ref150	-0.159337	-0.275942	-0.036699	0.109115	-0.037553	0.058503	-0.103655	-0.005239	-0.095603	0.037212	0.035221	-0.049649	-0.182016	-0.077592	-0.026803	0.039929	-0.097967	-0.119405	0.070387	0.215748	False
ref151	-0.162790	-0.284621	-0.026882	0.116696	-0.069055	0.046575	-0.059825	0.109337	-0.242237	0.035565	-0.029664	0.016263	-0.013929	0.056794	0.023812	-0.201868	0.013095	-0.094395	0.240290	-0.189624	False
ref152	-0.158209	-0.282821	-0.023964	0.123404	-0.082649	0.080322	-0.125001	0.100786	-0.185373	-0.071418	-0.062051	-0.245257	0.150823	-0.196432	0.143868	0.057644	-0.012241	0.131543	0.218555	0.229919	False
ref138	-0.173117	-0.254414	-0.031068	0.100624	-0.275555	0.007634	0.055452	0.067953	-0.053270	0.147115	0.087243	0.076350	0.038208	-0.062015	-0.096787	0.002384	0.056625	-0.087875	0.035481	-0.107441	False
