ID1	ID2	GRM_value	GRM_class
s1	s16	0.5345	MZ/dup
s1	s30	0.3315	1st-degree
s1	s33	0.1702	2nd-degree
s1	s34	0.5399	MZ/dup
s1	s91	0.1573	2nd-degree
s1	s94	0.5345	MZ/dup
s1	ref105	0.1762	2nd-degree
s1	ref106	0.1636	2nd-degree
s1	ref107	0.1715	2nd-degree
s1	ref108	0.1720	2nd-degree
s1	ref109	0.1703	2nd-degree
s1	ref110	0.1653	2nd-degree
s1	ref111	0.1749	2nd-degree
s1	ref112	0.1731	2nd-degree
s1	ref089	0.1700	2nd-degree
s1	ref121	0.1722	2nd-degree
s1	ref090	0.1666	2nd-degree
s1	ref091	0.1679	2nd-degree
s1	ref092	0.1713	2nd-degree
s1	ref122	0.1662	2nd-degree
s1	ref123	0.1612	2nd-degree
s1	ref124	0.1666	2nd-degree
s1	ref073	0.0718	3rd-degree
s1	ref125	0.1501	2nd-degree
s1	ref079	0.0465	3rd-degree
s1	ref126	0.1646	2nd-degree
s1	ref127	0.1627	2nd-degree
s1	ref128	0.1652	2nd-degree
s1	ref093	0.1719	2nd-degree
s1	ref094	0.1666	2nd-degree
s1	ref095	0.1701	2nd-degree
s1	ref096	0.1694	2nd-degree
s1	ref097	0.1683	2nd-degree
s1	ref098	0.1645	2nd-degree
s1	ref099	0.1626	2nd-degree
s1	ref100	0.1627	2nd-degree
s1	ref101	0.1766	2nd-degree
s1	ref102	0.1618	2nd-degree
s1	ref103	0.1616	2nd-degree
s1	ref104	0.1633	2nd-degree
s1	ref113	0.1539	2nd-degree
s1	ref114	0.1563	2nd-degree
s1	ref115	0.1530	2nd-degree
s1	ref116	0.1546	2nd-degree
s1	ref117	0.1530	2nd-degree
s1	ref118	0.1558	2nd-degree
s1	ref119	0.1613	2nd-degree
s1	ref120	0.1518	2nd-degree
s1	ref071	0.0627	3rd-degree
s2	s3	0.0722	3rd-degree
s2	s4	0.0684	3rd-degree
s2	s6	0.0672	3rd-degree
s2	s8	0.0685	3rd-degree
s2	s10	0.0604	3rd-degree
s2	s18	0.5527	MZ/dup
s2	s19	0.0670	3rd-degree
s2	s20	0.0688	3rd-degree
s2	s24	0.0698	3rd-degree
s2	s29	0.0668	3rd-degree
s2	s31	0.0696	3rd-degree
s2	s35	0.0700	3rd-degree
s2	s36	0.0662	3rd-degree
s2	s37	0.0666	3rd-degree
s2	s41	0.0694	3rd-degree
s2	s42	0.0605	3rd-degree
s2	s43	0.0596	3rd-degree
s2	s46	0.0579	3rd-degree
s2	s52	0.0737	3rd-degree
