ID1	ID2	NSNP	HETHET	IBS0	KINSHIP	relation	age1	age2	pop1	pop2
s13	s5	181101	0.1693	0.0001	0.2485	parent-child	5	31	FIN	FIN
s16	s1	181101	0.1502	0.0000	0.2526	parent-child	48	76	CHS	CHS
s17	s5	181101	0.1675	0.0001	0.2491	parent-child	49	31	FIN	FIN
s17	s13	181101	0.1495	0.0425	0.0903	2nd-degree	49	5	FIN	FIN
s18	s2	181101	0.1742	0.0001	0.2519	parent-child	15	46	GBR	CEU
s27	s9	181101	0.1674	0.0001	0.2510	parent-child	39	9	STU	STU
s29	s18	181101	0.1735	0.0001	0.2515	parent-child	42	15	CEU	GBR
s30	s1	181101	0.1337	0.0324	0.1155	2nd-degree	18	76	CHS	CHS
s30	s16	181101	0.1515	0.0000	0.2548	parent-child	18	48	CHS	CHS
s32	s9	181101	0.1927	0.0204	0.2271	full-sibling	10	9	ITU	STU
s32	s27	181101	0.1680	0.0001	0.2511	parent-child	10	39	ITU	STU
s33	s30	181101	0.1485	0.0001	0.2507	parent-child	41	18	CHS	CHS
s34	s1	181101	0.1500	0.0001	0.2526	parent-child	8	76	CHS	CHS
s34	s16	181101	0.1817	0.0133	0.2612	full-sibling	8	48	CHS	CHS
s34	s30	181101	0.1378	0.0251	0.1471	2nd-degree	8	18	CHS	CHS
s36	s31	181101	0.1726	0.0000	0.2505	parent-child	7	26	GBR	GBR
s37	s8	181101	0.1712	0.0001	0.2513	parent-child	14	43	CEU	CEU
s42	s6	178915	0.1756	0.0316	0.1445	2nd-degree	6	66	LWK	TSI
s42	s10	178996	0.1927	0.0010	0.2451	parent-child	6	47	LWK	KHV
s43	s6	178986	0.1708	0.0394	0.1175	2nd-degree	6	66	LWK	TSI
s43	s10	179062	0.1936	0.0010	0.2454	parent-child	6	47	LWK	KHV
s43	s42	179020	0.2115	0.0215	0.2156	full-sibling	6	6	LWK	LWK
s46	s6	178979	0.1686	0.0433	0.1050	2nd-degree	10	66	LWK	TSI
s46	s10	179046	0.1925	0.0011	0.2452	parent-child	10	47	LWK	KHV
s46	s42	179067	0.2415	0.0164	0.2684	full-sibling	10	6	LWK	LWK
s46	s43	179101	0.2267	0.0199	0.2394	full-sibling	10	6	LWK	LWK
s47	s26	181101	0.1754	0.0001	0.2516	parent-child	9	63	PJL	PJL
s48	s26	181101	0.1576	0.0397	0.1122	2nd-degree	10	63	PJL	PJL
s48	s47	181101	0.1611	0.0334	0.1350	2nd-degree	10	9	PJL	PJL
s49	s38	181101	0.1459	0.0268	0.1454	2nd-degree	15	42	MSL	YRI
s50	s13	181101	0.1779	0.0001	0.2535	parent-child	35	5	FIN	FIN
s51	s48	181101	0.1727	0.0001	0.2488	parent-child	38	10	MXL	PJL
s52	s36	181101	0.1737	0.0000	0.2524	parent-child	36	7	GBR	GBR
s53	s24	181101	0.1739	0.0001	0.2526	parent-child	33	7	GBR	GBR
s54	s9	181101	0.1647	0.0001	0.2469	parent-child	32	9	ITU	STU
s54	s32	181101	0.1653	0.0001	0.2470	parent-child	32	10	ITU	ITU
s55	s20	181101	0.1733	0.0001	0.2522	parent-child	5	25	CEU	CEU
s55	s35	181101	0.1740	0.0001	0.2529	parent-child	5	34	CEU	CEU
s57	s26	181101	0.1752	0.0002	0.2508	parent-child	33	63	PJL	PJL
s57	s47	181101	0.2165	0.0154	0.2665	full-sibling	33	9	PJL	PJL
s57	s48	181101	0.1771	0.0001	0.2537	parent-child	33	10	PJL	PJL
s58	s24	181101	0.1738	0.0001	0.2527	parent-child	27	7	GBR	GBR
s59	s6	178974	0.1770	0.0339	0.1379	2nd-degree	18	66	LWK	TSI
s59	s10	179044	0.1963	0.0010	0.2473	parent-child	18	47	LWK	KHV
s59	s42	179055	0.2479	0.0180	0.2696	full-sibling	18	6	LWK	LWK
s59	s43	179100	0.2251	0.0149	0.2485	full-sibling	18	6	LWK	LWK
s59	s46	179093	0.2259	0.0195	0.2375	full-sibling	18	10	LWK	LWK
s60	s3	181101	0.1724	0.0001	0.2522	parent-child	33	10	CEU	CEU
s61	s6	179092	0.1956	0.0008	0.2490	parent-child	40	66	LWK	TSI
s61	s42	178982	0.1953	0.0009	0.2482	parent-child	40	6	LWK	LWK
s61	s43	179082	0.1957	0.0011	0.2479	parent-child	40	6	LWK	LWK
s61	s46	179050	0.1940	0.0008	0.2467	parent-child	40	10	LWK	LWK
s61	s59	179058	0.1966	0.0008	0.2481	parent-child	40	18	LWK	LWK
s64	s4	181101	0.1724	0.0001	0.2516	parent-child	12	46	CEU	CEU
s64	s41	181101	0.1673	0.0000	0.2453	parent-child	12	37	CEU	CEU
s66	s3	181101	0.1723	0.0001	0.2505	parent-child	35	10	CEU	CEU
s68	s14	181101	0.1641	0.0001	0.2464	parent-child	13	36	STU	STU
s68	s67	181101	0.1613	0.0001	0.2421	parent-child	13	36	STU	STU
s69	s47	181101	0.1626	0.0001	0.2321	parent-child	53	9	IBS	PJL
s69	s48	181101	0.1506	0.0326	0.1139	2nd-degree	53	10	IBS	PJL
s69	s57	181101	0.1629	0.0001	0.2319	parent-child	53	33	IBS	PJL
s73	s14	181101	0.1645	0.0001	0.2461	parent-child	17	36	STU	STU
s73	s67	181101	0.1639	0.0001	0.2453	parent-child	17	36	STU	STU
s73	s68	181101	0.1916	0.0194	0.2287	full-sibling	17	13	STU	STU
s74	s28	181101	0.1602	0.0001	0.2520	parent-child	13	35	ESN	MSL
s74	s38	181101	0.1598	0.0001	0.2514	parent-child	13	42	ESN	YRI
s74	s49	181101	0.1401	0.0397	0.0948	2nd-degree	13	15	ESN	MSL
s75	s38	181101	0.1597	0.0002	0.2511	parent-child	68	42	ESN	YRI
s75	s49	181101	0.1590	0.0001	0.2503	parent-child	68	15	ESN	MSL
s75	s74	181101	0.1494	0.0231	0.1625	2nd-degree	68	13	ESN	ESN
s76	s10	179066	0.1950	0.0009	0.2491	parent-child	75	47	KHV	KHV
s76	s42	178890	0.1682	0.0396	0.1138	2nd-degree	75	6	KHV	LWK
s76	s43	178966	0.1694	0.0409	0.1112	2nd-degree	75	6	KHV	LWK
s76	s46	178954	0.1691	0.0395	0.1160	2nd-degree	75	10	KHV	LWK
s76	s59	178938	0.1725	0.0380	0.1210	2nd-degree	75	18	KHV	LWK
s77	s19	181101	0.1726	0.0001	0.2524	parent-child	32	10	GBR	CEU
s78	s37	181101	0.1722	0.0001	0.2516	parent-child	50	14	CEU	CEU
s79	s49	181101	0.1598	0.0001	0.2520	parent-child	61	15	MSL	MSL
s82	s19	181101	0.1724	0.0000	0.2516	parent-child	32	10	CEU	CEU
s83	s5	181101	0.2052	0.0146	0.2624	full-sibling	15	31	FIN	FIN
s83	s13	181101	0.1532	0.0332	0.1248	2nd-degree	15	5	FIN	FIN
s83	s17	181101	0.1652	0.0001	0.2481	parent-child	15	49	FIN	FIN
s84	s42	178878	0.1683	0.0411	0.1100	2nd-degree	73	6	TSI	LWK
s84	s43	178978	0.1733	0.0347	0.1321	2nd-degree	73	6	TSI	LWK
s84	s46	178952	0.1724	0.0312	0.1417	2nd-degree	73	10	TSI	LWK
s84	s59	178925	0.1692	0.0403	0.1108	2nd-degree	73	18	TSI	LWK
s84	s61	179040	0.1947	0.0008	0.2475	parent-child	73	40	TSI	LWK
s85	s5	181101	0.1695	0.0001	0.2523	parent-child	53	31	FIN	FIN
s85	s13	181101	0.1576	0.0252	0.1555	2nd-degree	53	5	FIN	FIN
s85	s83	181101	0.1685	0.0001	0.2526	parent-child	53	15	FIN	FIN
s87	s10	179033	0.1941	0.0009	0.2483	parent-child	76	47	KHV	KHV
