sample_id	F_inbreeding	is_student	population	superpopulation	age
s1	-0.0672	True	STUDENT	STUDENT	76.0000
s2	0.0586	True	STUDENT	STUDENT	46.0000
s3	0.0623	True	STUDENT	STUDENT	10.0000
s4	0.0534	True	STUDENT	STUDENT	46.0000
s5	-0.0279	True	STUDENT	STUDENT	31.0000
s6	0.2603	True	STUDENT	STUDENT	66.0000
s8	0.0610	True	STUDENT	STUDENT	43.0000
s9	-0.0163	True	STUDENT	STUDENT	9.0000
s10	0.2520	True	STUDENT	STUDENT	47.0000
s13	-0.0242	True	STUDENT	STUDENT	5.0000
s14	-0.0123	True	STUDENT	STUDENT	36.0000
s16	-0.0869	True	STUDENT	STUDENT	48.0000
s17	-0.0209	True	STUDENT	STUDENT	49.0000
s18	0.0523	True	STUDENT	STUDENT	15.0000
s19	0.0551	True	STUDENT	STUDENT	10.0000
s20	0.0589	True	STUDENT	STUDENT	25.0000
s24	0.0603	True	STUDENT	STUDENT	7.0000
s26	0.0053	True	STUDENT	STUDENT	63.0000
s27	-0.0199	True	STUDENT	STUDENT	39.0000
s28	0.2040	True	STUDENT	STUDENT	35.0000
s29	0.0677	True	STUDENT	STUDENT	42.0000
s30	-0.0722	True	STUDENT	STUDENT	18.0000
s31	0.0570	True	STUDENT	STUDENT	26.0000
s32	-0.0303	True	STUDENT	STUDENT	10.0000
s33	-0.0588	True	STUDENT	STUDENT	41.0000
s34	-0.0753	True	STUDENT	STUDENT	8.0000
s35	0.0586	True	STUDENT	STUDENT	34.0000
s36	0.0569	True	STUDENT	STUDENT	7.0000
s37	0.0579	True	STUDENT	STUDENT	14.0000
s38	0.1899	True	STUDENT	STUDENT	42.0000
s41	0.0902	True	STUDENT	STUDENT	37.0000
s42	0.2410	True	STUDENT	STUDENT	6.0000
s43	0.2527	True	STUDENT	STUDENT	6.0000
s46	0.2468	True	STUDENT	STUDENT	10.0000
s47	0.0085	True	STUDENT	STUDENT	9.0000
s48	-0.0056	True	STUDENT	STUDENT	10.0000
s49	0.1834	True	STUDENT	STUDENT	15.0000
s50	-0.0193	True	STUDENT	STUDENT	35.0000
s51	-0.0079	True	STUDENT	STUDENT	38.0000
s52	0.0673	True	STUDENT	STUDENT	36.0000
s53	0.0704	True	STUDENT	STUDENT	33.0000
s54	-0.0035	True	STUDENT	STUDENT	32.0000
s55	0.0506	True	STUDENT	STUDENT	5.0000
s57	0.0134	True	STUDENT	STUDENT	33.0000
s58	0.0502	True	STUDENT	STUDENT	27.0000
s59	0.2397	True	STUDENT	STUDENT	18.0000
s60	0.0652	True	STUDENT	STUDENT	33.0000
s61	0.2578	True	STUDENT	STUDENT	40.0000
s64	0.0538	True	STUDENT	STUDENT	12.0000
s66	0.0566	True	STUDENT	STUDENT	35.0000
s67	0.0050	True	STUDENT	STUDENT	36.0000
s68	-0.0339	True	STUDENT	STUDENT	13.0000
s69	0.1056	True	STUDENT	STUDENT	53.0000
s73	-0.0373	True	STUDENT	STUDENT	17.0000
