ID1	ID2	GRM	KING
s1	s2	-0.0612	0.0000
s1	s3	-0.0606	0.0000
s1	s4	-0.0568	0.0000
s1	s5	-0.0053	0.0000
s1	s6	-0.0777	0.0000
s1	s8	-0.0566	0.0000
s1	s9	0.0057	0.0000
s1	s10	-0.0839	0.0000
s1	s13	-0.0124	0.0000
s1	s14	-0.0012	0.0000
s1	s16	0.5345	0.2526
s1	s17	-0.0031	0.0000
s1	s18	-0.0592	0.0000
s1	s19	-0.0607	0.0000
s1	s20	-0.0591	0.0000
s1	s24	-0.0578	0.0000
s1	s26	-0.0376	0.0000
s1	s27	0.0124	0.0000
s1	s28	-0.0878	0.0000
s1	s29	-0.0618	0.0000
s1	s30	0.3315	0.1155
s1	s31	-0.0565	0.0000
s1	s32	0.0032	0.0000
s1	s33	0.1702	0.0000
s1	s34	0.5399	0.2526
s1	s35	-0.0607	0.0000
s1	s36	-0.0583	0.0000
s1	s37	-0.0607	0.0000
s1	s38	-0.0839	0.0000
s1	s41	-0.0593	0.0000
s1	s42	-0.0841	0.0000
s1	s43	-0.0844	0.0000
s1	s46	-0.0852	0.0000
s1	s47	-0.0511	0.0000
s1	s48	-0.0388	0.0000
s1	s49	-0.0822	0.0000
s1	s50	-0.0182	0.0000
s1	s51	-0.0191	0.0000
s1	s52	-0.0615	0.0000
s1	s53	-0.0574	0.0000
s1	s54	-0.0001	0.0000
s1	s55	-0.0620	0.0000
s1	s57	-0.0515	0.0000
s1	s58	-0.0604	0.0000
s1	s59	-0.0861	0.0000
s1	s60	-0.0580	0.0000
s1	s61	-0.0827	0.0000
s1	s64	-0.0575	0.0000
s1	s66	-0.0600	0.0000
s1	s67	-0.0031	0.0000
s1	s68	-0.0036	0.0000
s1	s69	-0.0598	0.0000
s1	s73	-0.0045	0.0000
s1	s74	-0.0857	0.0000
s1	s75	-0.0820	0.0000
s1	s76	-0.0761	0.0000
s1	s77	-0.0596	0.0000
s1	s78	-0.0588	0.0000
s1	s79	-0.0836	0.0000
s1	s82	-0.0600	0.0000
s1	s83	-0.0024	0.0000
s1	s84	-0.0709	0.0000
s1	s85	0.0018	0.0000
s1	s87	-0.0746	0.0000
s1	s91	0.1573	0.0000
s1	s92	-0.0855	0.0000
s1	s93	-0.0855	0.0000
s1	s94	0.5345	0.2526
s1	s95	-0.0031	0.0000
s2	s3	0.0722	0.0000
s2	s4	0.0684	0.0000
s2	s5	0.0077	0.0000
s2	s6	0.0672	0.0000
s2	s8	0.0685	0.0000
s2	s9	-0.0094	0.0000
s2	s10	0.0604	0.0000
s2	s13	0.0159	0.0000
s2	s14	-0.0066	0.0000
s2	s16	-0.0616	0.0000
s2	s17	0.0051	0.0000
s2	s18	0.5527	0.2519
s2	s19	0.0670	0.0000
s2	s20	0.0688	0.0000
s2	s24	0.0698	0.0000
s2	s26	0.0335	0.0000
s2	s27	-0.0132	0.0000
s2	s28	-0.0871	0.0000
s2	s29	0.0668	0.0000
s2	s30	-0.0626	0.0000
s2	s31	0.0696	0.0000
s2	s32	-0.0079	0.0000
s2	s33	-0.0596	0.0000
s2	s34	-0.0620	0.0000
s2	s35	0.0700	0.0000
s2	s36	0.0662	0.0000
s2	s37	0.0666	0.0000
s2	s38	-0.0933	0.0000
s2	s41	0.0694	0.0000
s2	s42	0.0605	0.0000
s2	s43	0.0596	0.0000
s2	s46	0.0579	0.0000
s2	s47	0.0394	0.0000
s2	s48	0.0357	0.0000
s2	s49	-0.0889	0.0000
s2	s50	0.0353	0.0000
s2	s51	0.0277	0.0000
s2	s52	0.0737	0.0000
s2	s53	0.0689	0.0000
s2	s54	-0.0068	0.0000
s2	s55	0.0676	0.0000
s2	s57	0.0436	0.0000
s2	s58	0.0701	0.0000
s2	s59	0.0624	0.0000
s2	s60	0.0729	0.0000
s2	s61	0.0608	0.0000
s2	s64	0.0677	0.0000
s2	s66	0.0680	0.0000
s2	s67	-0.0141	0.0000
s2	s68	-0.0112	0.0000
s2	s69	0.0537	0.0000
s2	s73	-0.0123	0.0000
s2	s74	-0.0928	0.0000
s2	s75	-0.0891	0.0000
s2	s76	0.0614	0.0000
s2	s77	0.0757	0.0000
s2	s78	0.0710	0.0000
s2	s79	-0.0867	0.0000
s2	s82	0.0696	0.0000
s2	s83	0.0065	0.0000
s2	s84	0.0654	0.0000
s2	s85	0.0093	0.0000
s2	s87	0.0722	0.0000
s2	s91	-0.0587	0.0000
s2	s92	0.0552	0.0000
s2	s93	0.0552	0.0000
s2	s94	-0.0616	0.0000
s2	s95	-0.0141	0.0000
s3	s4	0.0671	0.0000
s3	s5	0.0079	0.0000
s3	s6	0.0645	0.0000
s3	s8	0.0698	0.0000
s3	s9	-0.0112	0.0000
s3	s10	0.0496	0.0000
s3	s13	0.0196	0.0000
s3	s14	-0.0073	0.0000
s3	s16	-0.0608	0.0000
s3	s17	0.0084	0.0000
s3	s18	0.0736	0.0000
s3	s19	0.0691	0.0000
s3	s20	0.0678	0.0000
s3	s24	0.0706	0.0000
s3	s26	0.0301	0.0000
s3	s27	-0.0109	0.0000
s3	s28	-0.0905	0.0000
s3	s29	0.0765	0.0000
s3	s30	-0.0611	0.0000
s3	s31	0.0713	0.0000
s3	s32	-0.0106	0.0000
s3	s33	-0.0588	0.0000
s3	s34	-0.0601	0.0000
s3	s35	0.0720	0.0000
s3	s36	0.0707	0.0000
s3	s37	0.0677	0.0000
s3	s38	-0.0939	0.0000
s3	s41	0.0732	0.0000
s3	s42	0.0545	0.0000
s3	s43	0.0472	0.0000
s3	s46	0.0502	0.0000
s3	s47	0.0362	0.0000
s3	s48	0.0335	0.0000
s3	s49	-0.0936	0.0000
s3	s50	0.0399	0.0000
s3	s51	0.0253	0.0000
s3	s52	0.0756	0.0000
s3	s53	0.0706	0.0000
s3	s54	-0.0067	0.0000
s3	s55	0.0677	0.0000
s3	s57	0.0392	0.0000
s3	s58	0.0780	0.0000
s3	s59	0.0491	0.0000
s3	s60	0.5692	0.2522
s3	s61	0.0541	0.0000
s3	s64	0.0685	0.0000
s3	s66	0.5593	0.2505
s3	s67	-0.0115	0.0000
s3	s68	-0.0127	0.0000
s3	s69	0.0507	0.0000
s3	s73	-0.0071	0.0000
s3	s74	-0.0941	0.0000
s3	s75	-0.0907	0.0000
s3	s76	0.0577	0.0000
s3	s77	0.0744	0.0000
s3	s78	0.0719	0.0000
s3	s79	-0.0928	0.0000
s3	s82	0.0739	0.0000
s3	s83	0.0102	0.0000
s3	s84	0.0611	0.0000
s3	s85	0.0065	0.0000
s3	s87	0.0631	0.0000
s3	s91	-0.0610	0.0000
s3	s92	0.0467	0.0000
s3	s93	0.0467	0.0000
s3	s94	-0.0608	0.0000
s3	s95	-0.0115	0.0000
s4	s5	0.0093	0.0000
s4	s6	0.0611	0.0000
s4	s8	0.0659	0.0000
s4	s9	-0.0076	0.0000
s4	s10	0.0518	0.0000
s4	s13	0.0196	0.0000
s4	s14	-0.0029	0.0000
s4	s16	-0.0636	0.0000
s4	s17	0.0134	0.0000
s4	s18	0.0694	0.0000
s4	s19	0.0703	0.0000
s4	s20	0.0704	0.0000
s4	s24	0.0668	0.0000
s4	s26	0.0311	0.0000
s4	s27	-0.0085	0.0000
s4	s28	-0.0925	0.0000
s4	s29	0.0717	0.0000
s4	s30	-0.0584	0.0000
s4	s31	0.0697	0.0000
s4	s32	-0.0051	0.0000
s4	s33	-0.0555	0.0000
s4	s34	-0.0591	0.0000
s4	s35	0.0754	0.0000
s4	s36	0.0667	0.0000
s4	s37	0.0623	0.0000
s4	s38	-0.0924	0.0000
s4	s41	0.0665	0.0000
s4	s42	0.0465	0.0000
s4	s43	0.0542	0.0000
s4	s46	0.0503	0.0000
s4	s47	0.0426	0.0000
s4	s48	0.0358	0.0000
s4	s49	-0.0890	0.0000
s4	s50	0.0400	0.0000
s4	s51	0.0276	0.0000
s4	s52	0.0730	0.0000
s4	s53	0.0671	0.0000
s4	s54	-0.0056	0.0000
s4	s55	0.0755	0.0000
s4	s57	0.0425	0.0000
s4	s58	0.0709	0.0000
s4	s59	0.0449	0.0000
s4	s60	0.0609	0.0000
s4	s61	0.0532	0.0000
s4	s64	0.5582	0.2516
s4	s66	0.0759	0.0000
s4	s67	-0.0053	0.0000
s4	s68	-0.0036	0.0000
s4	s69	0.0549	0.0000
s4	s73	-0.0051	0.0000
s4	s74	-0.0925	0.0000
s4	s75	-0.0900	0.0000
