IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	sample_id	population	superpopulation	population_name	superpopulation_name	sample_id_fam	age	is_student
s1	-0.0357	0.1235	0.0513	0.0296	-0.1011	0.0018	0.0761	0.2524	-0.0072	0.0599	-0.0037	-0.0200	0.0005	-0.0020	-0.0048	0.0005	-0.0007	0.0069	0.0054	0.0028		STUDENT	STUDENT			s1	76.0000	True
s2	-0.0343	-0.0646	-0.0281	0.0235	-0.0581	0.0260	0.0140	-0.0083	-0.0009	0.0036	-0.0093	0.0162	-0.0600	0.1777	-0.0037	-0.1065	0.3603	-0.0621	0.1796	0.1326		STUDENT	STUDENT			s2	46.0000	True
s3	-0.0366	-0.0657	-0.0366	0.0258	-0.0728	0.0411	0.0281	-0.0135	0.0091	-0.0188	0.0031	0.0537	-0.2564	0.1644	0.0799	-0.3746	-0.2289	0.3757	-0.1183	0.1571		STUDENT	STUDENT			s3	10.0000	True
s4	-0.0360	-0.0612	-0.0342	0.0220	-0.0589	0.0246	0.0236	-0.0212	0.0046	-0.0107	0.0244	0.0313	0.1924	-0.1468	-0.1937	0.0921	0.0573	0.2989	0.1046	0.0872		STUDENT	STUDENT			s4	46.0000	True
s5	-0.0322	-0.0011	-0.0379	0.1388	0.2274	0.1091	0.0359	0.1519	0.0492	-0.4072	-0.0189	-0.0158	-0.0088	-0.0137	-0.0032	0.0081	0.0095	-0.0070	-0.0003	0.0169		STUDENT	STUDENT			s5	31.0000	True
s6	-0.0326	-0.0860	0.1107	-0.0089	-0.0016	-0.0068	-0.0001	-0.0077	0.3495	0.0362	-0.0118	0.0056	-0.0267	0.0010	0.0036	0.0129	-0.0021	-0.0038	0.0220	-0.0184		STUDENT	STUDENT			s6	66.0000	True
s8	-0.0361	-0.0628	-0.0348	0.0286	-0.0625	0.0334	0.0222	-0.0079	0.0079	-0.0087	0.0082	0.0054	0.2447	0.1926	0.2679	0.1519	-0.0264	0.0040	-0.1518	0.1280		STUDENT	STUDENT			s8	43.0000	True
s9	-0.0269	0.0150	-0.0408	-0.1698	0.0501	0.0328	-0.2497	0.1281	-0.0064	0.0012	0.0175	0.4312	0.0187	0.0080	0.0107	0.0048	-0.0005	-0.0136	0.0108	-0.0173		STUDENT	STUDENT			s9	9.0000	True
s10	-0.0379	-0.1073	0.2589	-0.0254	0.0494	-0.0040	-0.0135	-0.0004	-0.4964	-0.0542	0.0130	-0.0133	0.0256	0.0038	0.0113	-0.0252	0.0035	0.0089	-0.0005	-0.0073		STUDENT	STUDENT			s10	47.0000	True
s13	-0.0347	-0.0119	-0.0345	0.1170	0.1731	0.0934	0.0321	0.1125	0.0313	-0.3004	-0.0119	-0.0123	-0.0038	-0.0036	-0.0033	0.0026	-0.0047	-0.0057	0.0073	-0.0275		STUDENT	STUDENT			s13	5.0000	True
